ticker,daily_volatility,annualized_volatility
^GSPC,0.010710411432205148,0.17002251053278772
AAPL,0.017802998568203495,0.2826138408162326
AMZN,0.022015114077492553,0.34947910160257467
GOOGL,0.01947390597001155,0.3091386735102397
MSFT,0.01628184520423301,0.2584662797739012
TSLA,0.03861970344782893,0.6130687861801145
